num_epochs,lr_generator,lr_discriminator,schedule,nb_step_discrim,nb_epoch_fade_in_new_layer,EMA_value,device,use_loss,momment_loss,scaling_penalty,betas_generator,betas_discriminator,scaling,batch_size,num_batches_per_epoch,target_len,nb_features,ks_conv,key_features,value_features,ks_value,ks_query,ks_key,num_workers,path_to_pretrain,cardinality,embedding_dim,dataset,which_model,model_id,bucket_name,channel_nb,pos_enc_dimension,self_attention,TrainingJobName,encoder_network_factor,DownloadStatus,TrainingJobStatus,SaveLocation,UploadS3,UploadS3Location,context_length,LARS,missing_values_stretch,cold_start_value
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__13_54_08__978,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len16-20092021-135408-978,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len16-20092021-135408-978,0,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__13_54_30__150,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len32-20092021-135430-150,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len32-20092021-135430-150,0,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__13_54_47__100,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len64-20092021-135447-100,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len64-20092021-135447-100,0,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__13_55_03__88,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len128-20092021-135503-88,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len128-20092021-135503-88,0,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__13_55_18__376,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len256-20092021-135518-376,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len256-20092021-135518-376,0,,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__13_55_34__45,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len16-20092021-135534-45,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len16-20092021-135534-45,0,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_03_30__443,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len32-20092021-140330-443,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len32-20092021-140330-443,0,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_03_51__704,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len64-20092021-140351-704,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len64-20092021-140351-704,0,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_04_13__48,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len128-20092021-140413-48,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len128-20092021-140413-48,0,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_04_32__972,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len256-20092021-140432-972,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len256-20092021-140432-972,0,,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_04_54__992,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len16-20092021-140454-992,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len16-20092021-140454-992,16,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_05_11__816,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len32-20092021-140511-816,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len32-20092021-140511-816,16,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_05_33__307,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len64-20092021-140533-307,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len64-20092021-140533-307,16,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_09_20__119,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len128-20092021-140920-119,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len128-20092021-140920-119,16,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_09_42__552,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len256-20092021-140942-552,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len256-20092021-140942-552,16,,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__14_10_00__431,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len16-20092021-141000-431,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len16-20092021-141000-431,16,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__14_10_17__734,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len32-20092021-141017-734,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len32-20092021-141017-734,16,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__14_10_34__994,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len64-20092021-141034-994,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len64-20092021-141034-994,16,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__14_10_50__50,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len128-20092021-141050-50,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len128-20092021-141050-50,16,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__14_11_07__532,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len256-20092021-141107-532,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len256-20092021-141107-532,16,,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__14_11_23__896,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len16-20092021-141123-896,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len16-20092021-141123-896,16,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__14_11_40__679,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len32-20092021-141140-679,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len32-20092021-141140-679,16,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__14_11_58__967,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len64-20092021-141158-967,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len64-20092021-141158-967,16,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__14_12_17__134,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len128-20092021-141217-134,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len128-20092021-141217-134,16,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__14_12_38__535,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len256-20092021-141238-535,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len256-20092021-141238-535,16,,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_12_54__616,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len16-20092021-141254-616,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len16-20092021-141254-616,16,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_13_12__723,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len32-20092021-141312-723,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len32-20092021-141312-723,16,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_13_29__391,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len64-20092021-141329-391,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len64-20092021-141329-391,16,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_13_46__74,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len128-20092021-141346-74,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len128-20092021-141346-74,16,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[370],10,electricity,PSA-GAN,20_09_2021__14_14_04__251,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-electricity-len256-20092021-141404-251,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-electricity-len256-20092021-141404-251,16,,,
2500,5e-05,5e-05,[1000],1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_58_05__208,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len16-20092021-145805-208,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len16-20092021-145805-208,0,,,
3500,5e-05,5e-05,"[1000, 2000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_58_26__524,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len32-20092021-145826-524,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len32-20092021-145826-524,0,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_58_45__467,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len64-20092021-145845-467,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len64-20092021-145845-467,0,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_59_04__988,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len128-20092021-145904-988,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len128-20092021-145904-988,0,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__14_59_26__144,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len256-20092021-145926-144,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len256-20092021-145926-144,0,,,
2500,5e-05,5e-05,[1000],1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__14_59_47__979,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len16-20092021-145947-979,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len16-20092021-145947-979,0,,,
3500,5e-05,5e-05,"[1000, 2000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__15_00_06__50,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len32-20092021-150006-50,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len32-20092021-150006-50,0,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__15_00_25__634,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len64-20092021-150025-634,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len64-20092021-150025-634,0,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__15_00_44__403,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len128-20092021-150044-403,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len128-20092021-150044-403,0,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__15_01_03__133,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len256-20092021-150103-133,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len256-20092021-150103-133,0,,,
2500,5e-05,5e-05,[1000],1,2,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[137],10,solar-energy,PSA-GAN,20_09_2021__15_01_22__644,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-solar-energy-len16-20092021-150122-644,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-solar-energy-len16-20092021-150122-644,0,,,
